"","ISO","Year","Infant mortality rate","Under 5 mortality rate","Neonatal mortality rate","Maternal mortality rate"
"496","UGA",2019,33,45.3,19.8,NA
"497","UKR",2000,15.7,18.3,11,35
"498","UKR",2019,7.2,8.4,5,NA
"499",NA,2000,28.5,35.1,18.6,67
"500",NA,2019,9.5,11.7,5.9,NA
"501","URY",2000,14.8,17,8.5,26
"502","URY",2019,5.8,6.7,4,NA
"503","USA",2000,7.1,8.4,4.6,12
"504","USA",2019,5.5,6.4,3.5,NA
"505","UZB",2000,50.8,60.7,27.8,41
"506","UZB",2019,13.3,14.8,8.1,NA
"507","VCT",2000,19.2,22.2,13.1,80
"508","VCT",2019,13.4,14.6,9.1,NA
"509","VEN",2000,18.4,21.6,11.1,119
"510","VEN",2019,21.1,24.2,14.6,NA
"511","VGB",2000,NA,NA,NA,NA
"512","VGB",2019,NA,NA,NA,NA
"513","VIR",2000,NA,NA,NA,NA
"514","VIR",2019,NA,NA,NA,NA
"515","VNM",2000,23.5,29.8,15,68
"516","VNM",2019,16.9,21.1,10.2,NA
"517","VUT",2000,23.9,28.5,12,140
"518","VUT",2019,21.6,25.6,10.9,NA
"519",NA,2000,52.8,75.8,30.4,342
"520",NA,2019,28.1,37.7,17.4,NA
"521","WSM",2000,18.1,21.2,8.7,88
"522","WSM",2019,15,17.4,6.9,NA
"523",NA,2000,NA,NA,NA,NA
"524",NA,2019,NA,NA,NA,NA
"525","YEM",2000,68.8,95,37,301
"526","YEM",2019,46.4,61.5,28.2,NA
"527","ZAF",2000,47.7,71.5,16.9,160
"528","ZAF",2019,26.3,33,10.8,NA
"529","ZMB",2000,90.2,155.9,34.3,528
"530","ZMB",2019,42.9,64.1,24.4,NA
"531","ZWE",2000,51.9,95.5,24.6,579
"532","ZWE",2019,38.1,54.2,26.2,NA
